c-a,,,,a-b,,,,b-c,,,,,,A1,B1,C1,,,A,B,C,,,,,A3,B3,C3,,,A4,B4,C4,,,,A5,B5,C5,,,,Phase A,A6,B6,C6,,,,,,A7,B7,C7,,,,,Phase B,A8,B8,C8,,,,Phase B,A9,B9,C9,,,,Phase C,A10,B10,C10,label
,,,,,,,,,,,,,,0.521,-0.362,-0.159,,,0.23,-0.396,0.166,2,,,,0.839,-0.897,0.057,1,,0.839,-0.897,0.057,1,,,0.567,-0.311,-0.256,0,,,,0.567,-0.311,-0.256,0,,,,,0.894,-0.793,-0.101,1,,,,,0.567,-0.311,-0.256,1,,,,0.567,-0.311,-0.256,1,,,,0.567,-0.311,-0.256,0
,,,,,,,,,,,,,,0.547,-0.355,-0.192,,,0.249,-0.399,0.15,2,,,,0.849,-0.894,0.044,1,,0.849,-0.894,0.044,1,,,0.578,-0.286,-0.292,0,,,,0.578,-0.286,-0.292,0,,,,,0.892,-0.777,-0.114,1,,,,,0.578,-0.286,-0.292,1,,,,0.578,-0.286,-0.292,1,,,,0.578,-0.286,-0.292,0
,,,,,,,,,,,,,,0.574,-0.349,-0.225,,,0.268,-0.401,0.133,2,,,,0.859,-0.888,0.03,1,,0.859,-0.888,0.03,1,,,0.59,-0.262,-0.328,0,,,,0.59,-0.262,-0.328,0,,,,,0.887,-0.76,-0.127,1,,,,,0.59,-0.262,-0.328,1,,,,0.59,-0.262,-0.328,1,,,,0.59,-0.262,-0.328,0
,,,,,,,,,,,,,,0.6,-0.344,-0.256,,,0.287,-0.402,0.114,2,,,,0.868,-0.881,0.013,1,,0.868,-0.881,0.013,1,,,0.602,-0.238,-0.364,0,,,,0.602,-0.238,-0.364,0,,,,,0.882,-0.742,-0.14,1,,,,,0.602,-0.238,-0.364,1,,,,0.602,-0.238,-0.364,1,,,,0.602,-0.238,-0.364,0
,,,,,,,,,,,,,,0.626,-0.34,-0.286,,,0.308,-0.4,0.093,2,,,,0.876,-0.872,-0.004,1,,0.876,-0.872,-0.004,1,,,0.614,-0.215,-0.399,0,,,,0.614,-0.215,-0.399,0,,,,,0.876,-0.723,-0.153,1,,,,,0.614,-0.215,-0.399,1,,,,0.614,-0.215,-0.399,1,,,,0.614,-0.215,-0.399,0
,,,,,,,,,,,,,,0.652,-0.335,-0.316,,,0.328,-0.397,0.068,2,,,,0.883,-0.861,-0.022,1,,0.883,-0.861,-0.022,1,,,0.627,-0.193,-0.434,0,,,,0.627,-0.193,-0.434,0,,,,,0.868,-0.702,-0.166,1,,,,,0.627,-0.193,-0.434,1,,,,0.627,-0.193,-0.434,1,,,,0.627,-0.193,-0.434,0
,,,,,,,,,,,,,,0.676,-0.33,-0.346,,,0.35,-0.39,0.041,2,,,,0.889,-0.849,-0.04,1,,0.889,-0.849,-0.04,1,,,0.639,-0.171,-0.468,0,,,,0.639,-0.171,-0.468,0,,,,,0.859,-0.68,-0.18,1,,,,,0.639,-0.171,-0.468,1,,,,0.639,-0.171,-0.468,1,,,,0.639,-0.171,-0.468,0
,,,,,,,,,,,,,,0.698,-0.323,-0.376,,,0.371,-0.382,0.011,2,,,,0.893,-0.836,-0.057,1,,0.893,-0.836,-0.057,1,,,0.65,-0.149,-0.501,0,,,,0.65,-0.149,-0.501,0,,,,,0.85,-0.657,-0.192,1,,,,,0.65,-0.149,-0.501,1,,,,0.65,-0.149,-0.501,1,,,,0.65,-0.149,-0.501,0
,,,,,,,,,,,,,,0.72,-0.314,-0.406,,,0.392,-0.373,-0.02,2,,,,0.895,-0.822,-0.073,1,,0.895,-0.822,-0.073,1,,,0.661,-0.127,-0.534,0,,,,0.661,-0.127,-0.534,0,,,,,0.838,-0.633,-0.205,1,,,,,0.661,-0.127,-0.534,1,,,,0.661,-0.127,-0.534,1,,,,0.661,-0.127,-0.534,0
,,,,,,,,,,,,,,0.739,-0.303,-0.436,,,0.413,-0.363,-0.05,2,,,,0.896,-0.808,-0.088,1,,0.896,-0.808,-0.088,1,,,0.67,-0.105,-0.566,0,,,,0.67,-0.105,-0.566,0,,,,,0.826,-0.609,-0.217,1,,,,,0.67,-0.105,-0.566,1,,,,0.67,-0.105,-0.566,1,,,,0.67,-0.105,-0.566,0
,,,,,,,,,,,,,,0.757,-0.291,-0.466,,,0.433,-0.354,-0.079,2,,,,0.894,-0.793,-0.101,1,,0.894,-0.793,-0.101,1,,,0.678,-0.081,-0.597,0,,,,0.678,-0.081,-0.597,0,,,,,0.812,-0.584,-0.228,1,,,,,0.678,-0.081,-0.597,1,,,,0.678,-0.081,-0.597,1,,,,0.678,-0.081,-0.597,0
,,,,,,,,,,,,,,0.774,-0.278,-0.496,,,0.452,-0.346,-0.106,2,,,,0.892,-0.777,-0.114,1,,0.892,-0.777,-0.114,1,,,0.684,-0.057,-0.627,0,,,,0.684,-0.057,-0.627,0,,,,,0.797,-0.557,-0.24,1,,,,,0.684,-0.057,-0.627,1,,,,0.684,-0.057,-0.627,1,,,,0.684,-0.057,-0.627,0
,,,,,,,,,,,,,,0.79,-0.265,-0.524,,,0.47,-0.34,-0.13,2,,,,0.887,-0.76,-0.127,1,,0.887,-0.76,-0.127,1,,,0.687,-0.03,-0.657,0,,,,0.687,-0.03,-0.657,0,,,,,0.781,-0.53,-0.251,1,,,,,0.687,-0.03,-0.657,1,,,,0.687,-0.03,-0.657,1,,,,0.687,-0.03,-0.657,0
,,,,,,,,,,,,,,0.805,-0.253,-0.552,,,0.487,-0.335,-0.152,2,,,,0.882,-0.742,-0.14,1,,0.882,-0.742,-0.14,1,,,0.688,-0.002,-0.685,0,,,,0.688,-0.002,-0.685,0,,,,,0.765,-0.502,-0.263,1,,,,,0.688,-0.002,-0.685,1,,,,0.688,-0.002,-0.685,1,,,,0.688,-0.002,-0.685,0
,,,,,,,,,,,,,,0.819,-0.24,-0.579,,,0.503,-0.331,-0.172,2,,,,0.876,-0.723,-0.153,1,,0.876,-0.723,-0.153,1,,,0.686,0.027,-0.713,0,,,,0.686,0.027,-0.713,0,,,,,0.747,-0.473,-0.275,1,,,,,0.686,0.027,-0.713,1,,,,0.686,0.027,-0.713,1,,,,0.686,0.027,-0.713,0
,,,,,,,,,,,,,,0.832,-0.228,-0.604,,,0.517,-0.326,-0.191,2,,,,0.868,-0.702,-0.166,1,,0.868,-0.702,-0.166,1,,,0.683,0.057,-0.74,0,,,,0.683,0.057,-0.74,0,,,,,0.729,-0.443,-0.286,1,,,,,0.683,0.057,-0.74,1,,,,0.683,0.057,-0.74,1,,,,0.683,0.057,-0.74,0
,,,,,,,,,,,,,,0.845,-0.216,-0.629,,,0.53,-0.32,-0.21,2,,,,0.859,-0.68,-0.18,1,,0.859,-0.68,-0.18,1,,,0.678,0.087,-0.765,0,,,,0.678,0.087,-0.765,0,,,,,0.71,-0.412,-0.298,1,,,,,0.678,0.087,-0.765,1,,,,0.678,0.087,-0.765,1,,,,0.678,0.087,-0.765,0
,,,,,,,,,,,,,,0.856,-0.203,-0.653,,,0.542,-0.313,-0.229,2,,,,0.85,-0.657,-0.192,1,,0.85,-0.657,-0.192,1,,,0.674,0.116,-0.79,0,,,,0.674,0.116,-0.79,0,,,,,0.689,-0.381,-0.308,1,,,,,0.674,0.116,-0.79,1,,,,0.674,0.116,-0.79,1,,,,0.674,0.116,-0.79,0
,,,,,,,,,,,,,,0.865,-0.19,-0.676,,,0.553,-0.304,-0.249,2,,,,0.838,-0.633,-0.205,1,,0.838,-0.633,-0.205,1,,,0.67,0.144,-0.813,0,,,,0.67,0.144,-0.813,0,,,,,0.668,-0.35,-0.317,1,,,,,0.67,0.144,-0.813,1,,,,0.67,0.144,-0.813,1,,,,0.67,0.144,-0.813,0
,,,,,,,,,,,,,,0.874,-0.176,-0.698,,,0.563,-0.293,-0.27,2,,,,0.826,-0.609,-0.217,1,,0.826,-0.609,-0.217,1,,,0.666,0.169,-0.836,0,,,,0.666,0.169,-0.836,0,,,,,0.644,-0.319,-0.325,1,,,,,0.666,0.169,-0.836,1,,,,0.666,0.169,-0.836,1,,,,0.666,0.169,-0.836,0
,,,,,,,,,,,,,,0.881,-0.162,-0.719,,,0.572,-0.281,-0.292,2,,,,0.812,-0.584,-0.228,1,,0.812,-0.584,-0.228,1,,,0.664,0.193,-0.857,0,,,,0.664,0.193,-0.857,0,,,,,0.619,-0.289,-0.33,1,,,,,0.664,0.193,-0.857,1,,,,0.664,0.193,-0.857,1,,,,0.664,0.193,-0.857,0
,,,,,,,,,,,,,,0.887,-0.148,-0.738,,,0.582,-0.268,-0.314,2,,,,0.797,-0.557,-0.24,1,,0.797,-0.557,-0.24,1,,,0.663,0.214,-0.877,0,,,,0.663,0.214,-0.877,0,,,,,0.593,-0.258,-0.335,1,,,,,0.663,0.214,-0.877,1,,,,0.663,0.214,-0.877,1,,,,0.663,0.214,-0.877,0
,,,,,,,,,,,,,,0.892,-0.135,-0.757,,,0.592,-0.255,-0.337,2,,,,0.781,-0.53,-0.251,1,,0.781,-0.53,-0.251,1,,,0.662,0.234,-0.896,0,,,,0.662,0.234,-0.896,0,,,,,0.566,-0.227,-0.338,1,,,,,0.662,0.234,-0.896,1,,,,0.662,0.234,-0.896,1,,,,0.662,0.234,-0.896,0
,,,,,,,,,,,,,,0.895,-0.121,-0.774,,,0.602,-0.242,-0.359,2,,,,0.765,-0.502,-0.263,1,,0.765,-0.502,-0.263,1,,,0.659,0.254,-0.913,0,,,,0.659,0.254,-0.913,0,,,,,0.538,-0.196,-0.342,1,,,,,0.659,0.254,-0.913,1,,,,0.659,0.254,-0.913,1,,,,0.659,0.254,-0.913,0
,,,,,,,,,,,,,,0.898,-0.108,-0.79,,,0.612,-0.23,-0.382,2,,,,0.747,-0.473,-0.275,1,,0.747,-0.473,-0.275,1,,,0.656,0.273,-0.929,0,,,,0.656,0.273,-0.929,0,,,,,0.51,-0.164,-0.345,1,,,,,0.656,0.273,-0.929,1,,,,0.656,0.273,-0.929,1,,,,0.656,0.273,-0.929,0
,,,,,,,,,,,,,,0.9,-0.095,-0.804,,,0.621,-0.218,-0.403,2,,,,0.729,-0.443,-0.286,1,,0.729,-0.443,-0.286,1,,,0.649,0.295,-0.944,0,,,,0.649,0.295,-0.944,0,,,,,0.482,-0.131,-0.35,1,,,,,0.649,0.295,-0.944,1,,,,0.649,0.295,-0.944,1,,,,0.649,0.295,-0.944,0
,,,,,,,,,,,,,,0.9,-0.082,-0.818,,,0.629,-0.205,-0.424,2,,,,0.71,-0.412,-0.298,1,,0.71,-0.412,-0.298,1,,,0.64,0.318,-0.957,0,,,,0.64,0.318,-0.957,0,,,,,0.454,-0.098,-0.356,1,,,,,0.64,0.318,-0.957,1,,,,0.64,0.318,-0.957,1,,,,0.64,0.318,-0.957,0
,,,,,,,,,,,,,,0.898,-0.068,-0.83,,,0.636,-0.193,-0.443,2,,,,0.689,-0.381,-0.308,1,,0.689,-0.381,-0.308,1,,,0.627,0.342,-0.969,0,,,,0.627,0.342,-0.969,0,,,,,0.426,-0.063,-0.363,1,,,,,0.627,0.342,-0.969,1,,,,0.627,0.342,-0.969,1,,,,0.627,0.342,-0.969,0
,,,,,,,,,,,,,,0.895,-0.053,-0.842,,,0.641,-0.18,-0.461,2,,,,0.668,-0.35,-0.317,1,,0.668,-0.35,-0.317,1,,,0.611,0.369,-0.98,0,,,,0.611,0.369,-0.98,0,,,,,0.398,-0.028,-0.37,1,,,,,0.611,0.369,-0.98,1,,,,0.611,0.369,-0.98,1,,,,0.611,0.369,-0.98,0
,,,,,,,,,,,,,,0.89,-0.036,-0.854,,,0.643,-0.166,-0.477,2,,,,0.644,-0.319,-0.325,1,,0.644,-0.319,-0.325,1,,,0.594,0.395,-0.989,0,,,,0.594,0.395,-0.989,0,,,,,0.369,0.007,-0.376,1,,,,,0.594,0.395,-0.989,1,,,,0.594,0.395,-0.989,1,,,,0.594,0.395,-0.989,0
,,,,,,,,,,,,,,0.883,-0.019,-0.864,,,0.644,-0.152,-0.492,2,,,,0.619,-0.289,-0.33,1,,0.619,-0.289,-0.33,1,,,0.575,0.421,-0.997,0,,,,0.575,0.421,-0.997,0,,,,,0.34,0.041,-0.381,1,,,,,0.575,0.421,-0.997,1,,,,0.575,0.421,-0.997,1,,,,0.575,0.421,-0.997,0
,,,,,,,,,,,,,,0.874,-0.001,-0.874,,,0.643,-0.138,-0.505,2,,,,0.593,-0.258,-0.335,1,,0.593,-0.258,-0.335,1,,,0.557,0.446,-1.003,0,,,,0.557,0.446,-1.003,0,,,,,0.309,0.075,-0.384,1,,,,,0.557,0.446,-1.003,1,,,,0.557,0.446,-1.003,1,,,,0.557,0.446,-1.003,0
,,,,,,,,,,,,,,0.864,0.017,-0.882,,,0.641,-0.125,-0.516,2,,,,0.566,-0.227,-0.338,1,,0.566,-0.227,-0.338,1,,,0.54,0.468,-1.008,0,,,,0.54,0.468,-1.008,0,,,,,0.278,0.108,-0.385,1,,,,,0.54,0.468,-1.008,1,,,,0.54,0.468,-1.008,1,,,,0.54,0.468,-1.008,0
,,,,,,,,,,,,,,0.854,0.035,-0.888,,,0.638,-0.112,-0.527,2,,,,0.538,-0.196,-0.342,1,,0.538,-0.196,-0.342,1,,,0.524,0.487,-1.011,0,,,,0.524,0.487,-1.011,0,,,,,0.245,0.14,-0.385,1,,,,,0.524,0.487,-1.011,1,,,,0.524,0.487,-1.011,1,,,,0.524,0.487,-1.011,0
,,,,,,,,,,,,,,0.842,0.051,-0.893,,,0.636,-0.099,-0.537,2,,,,0.51,-0.164,-0.345,1,,0.51,-0.164,-0.345,1,,,0.51,0.504,-1.013,0,,,,0.51,0.504,-1.013,0,,,,,0.211,0.171,-0.383,1,,,,,0.51,0.504,-1.013,1,,,,0.51,0.504,-1.013,1,,,,0.51,0.504,-1.013,0
,,,,,,,,,,,,,,0.831,0.065,-0.895,,,0.633,-0.086,-0.547,2,,,,0.482,-0.131,-0.35,1,,0.482,-0.131,-0.35,1,,,0.496,0.518,-1.014,0,,,,0.496,0.518,-1.014,0,,,,,0.178,0.202,-0.38,1,,,,,0.496,0.518,-1.014,1,,,,0.496,0.518,-1.014,1,,,,0.496,0.518,-1.014,0
,,,,,,,,,,,,,,0.818,0.077,-0.896,,,0.631,-0.073,-0.558,2,,,,0.454,-0.098,-0.356,1,,0.454,-0.098,-0.356,1,,,0.482,0.531,-1.013,0,,,,0.482,0.531,-1.013,0,,,,,0.144,0.233,-0.377,1,,,,,0.482,0.531,-1.013,1,,,,0.482,0.531,-1.013,1,,,,0.482,0.531,-1.013,0
,,,,,,,,,,,,,,0.805,0.089,-0.894,,,0.63,-0.06,-0.57,2,,,,0.426,-0.063,-0.363,1,,0.426,-0.063,-0.363,1,,,0.467,0.543,-1.01,0,,,,0.467,0.543,-1.01,0,,,,,0.11,0.264,-0.374,1,,,,,0.467,0.543,-1.01,1,,,,0.467,0.543,-1.01,1,,,,0.467,0.543,-1.01,0
,,,,,,,,,,,,,,0.792,0.099,-0.891,,,0.628,-0.045,-0.583,2,,,,0.398,-0.028,-0.37,1,,0.398,-0.028,-0.37,1,,,0.451,0.555,-1.006,0,,,,0.451,0.555,-1.006,0,,,,,0.077,0.295,-0.371,1,,,,,0.451,0.555,-1.006,1,,,,0.451,0.555,-1.006,1,,,,0.451,0.555,-1.006,0
,,,,,,,,,,,,,,0.776,0.111,-0.887,,,0.625,-0.028,-0.597,2,,,,0.369,0.007,-0.376,1,,0.369,0.007,-0.376,1,,,0.432,0.568,-1,0,,,,0.432,0.568,-1,0,,,,,0.044,0.326,-0.369,1,,,,,0.432,0.568,-1,1,,,,0.432,0.568,-1,1,,,,0.432,0.568,-1,0
,,,,,,,,,,,,,,0.759,0.123,-0.882,,,0.621,-0.011,-0.61,2,,,,0.34,0.041,-0.381,1,,0.34,0.041,-0.381,1,,,0.412,0.582,-0.993,0,,,,0.412,0.582,-0.993,0,,,,,0.011,0.357,-0.368,1,,,,,0.412,0.582,-0.993,1,,,,0.412,0.582,-0.993,1,,,,0.412,0.582,-0.993,0
,,,,,,,,,,,,,,0.741,0.136,-0.877,,,0.614,0.007,-0.621,2,,,,0.309,0.075,-0.384,1,,0.309,0.075,-0.384,1,,,0.39,0.595,-0.985,0,,,,0.39,0.595,-0.985,0,,,,,-0.022,0.387,-0.366,1,,,,,0.39,0.595,-0.985,1,,,,0.39,0.595,-0.985,1,,,,0.39,0.595,-0.985,0
,,,,,,,,,,,,,,0.72,0.151,-0.871,,,0.605,0.024,-0.63,2,,,,0.278,0.108,-0.385,1,,0.278,0.108,-0.385,1,,,0.366,0.609,-0.975,0,,,,0.366,0.609,-0.975,0,,,,,-0.054,0.417,-0.363,1,,,,,0.366,0.609,-0.975,1,,,,0.366,0.609,-0.975,1,,,,0.366,0.609,-0.975,0
,,,,,,,,,,,,,,0.698,0.167,-0.864,,,0.594,0.041,-0.636,2,,,,0.245,0.14,-0.385,1,,0.245,0.14,-0.385,1,,,0.342,0.622,-0.964,0,,,,0.342,0.622,-0.964,0,,,,,-0.086,0.447,-0.36,1,,,,,0.342,0.622,-0.964,1,,,,0.342,0.622,-0.964,1,,,,0.342,0.622,-0.964,0
,,,,,,,,,,,,,,0.674,0.183,-0.857,,,0.581,0.057,-0.638,2,,,,0.211,0.171,-0.383,1,,0.211,0.171,-0.383,1,,,0.317,0.635,-0.951,0,,,,0.317,0.635,-0.951,0,,,,,-0.119,0.475,-0.356,1,,,,,0.317,0.635,-0.951,1,,,,0.317,0.635,-0.951,1,,,,0.317,0.635,-0.951,0
,,,,,,,,,,,,,,0.65,0.199,-0.848,,,0.567,0.071,-0.638,2,,,,0.178,0.202,-0.38,1,,0.178,0.202,-0.38,1,,,0.291,0.646,-0.937,0,,,,0.291,0.646,-0.937,0,,,,,-0.152,0.503,-0.351,1,,,,,0.291,0.646,-0.937,1,,,,0.291,0.646,-0.937,1,,,,0.291,0.646,-0.937,0
,,,,,,,,,,,,,,0.625,0.213,-0.838,,,0.553,0.083,-0.636,2,,,,0.144,0.233,-0.377,1,,0.144,0.233,-0.377,1,,,0.266,0.655,-0.922,0,,,,0.266,0.655,-0.922,0,,,,,-0.184,0.529,-0.345,1,,,,,0.266,0.655,-0.922,1,,,,0.266,0.655,-0.922,1,,,,0.266,0.655,-0.922,0
,,,,,,,,,,,,,,0.599,0.227,-0.826,,,0.538,0.094,-0.632,2,,,,0.11,0.264,-0.374,1,,0.11,0.264,-0.374,1,,,0.242,0.663,-0.905,0,,,,0.242,0.663,-0.905,0,,,,,-0.217,0.555,-0.339,1,,,,,0.242,0.663,-0.905,1,,,,0.242,0.663,-0.905,1,,,,0.242,0.663,-0.905,0
,,,,,,,,,,,,,,0.573,0.239,-0.812,,,0.524,0.104,-0.629,2,,,,0.077,0.295,-0.371,1,,0.077,0.295,-0.371,1,,,0.217,0.67,-0.887,0,,,,0.217,0.67,-0.887,0,,,,,-0.249,0.581,-0.332,1,,,,,0.217,0.67,-0.887,1,,,,0.217,0.67,-0.887,1,,,,0.217,0.67,-0.887,0
,,,,,,,,,,,,,,0.547,0.249,-0.797,,,0.511,0.115,-0.626,2,,,,0.044,0.326,-0.369,1,,0.044,0.326,-0.369,1,,,0.192,0.675,-0.868,0,,,,0.192,0.675,-0.868,0,,,,,-0.281,0.605,-0.324,1,,,,,0.192,0.675,-0.868,1,,,,0.192,0.675,-0.868,1,,,,0.192,0.675,-0.868,0
,,,,,,,,,,,,,,0.521,0.259,-0.78,,,0.497,0.127,-0.623,2,,,,0.011,0.357,-0.368,1,,0.011,0.357,-0.368,1,,,0.168,0.679,-0.847,0,,,,0.168,0.679,-0.847,0,,,,,-0.312,0.628,-0.316,1,,,,,0.168,0.679,-0.847,1,,,,0.168,0.679,-0.847,1,,,,0.168,0.679,-0.847,0
,,,,,,,,,,,,,,0.494,0.267,-0.761,,,0.483,0.14,-0.622,2,,,,-0.022,0.387,-0.366,1,,-0.022,0.387,-0.366,1,,,0.144,0.681,-0.825,0,,,,0.144,0.681,-0.825,0,,,,,-0.344,0.651,-0.307,1,,,,,0.144,0.681,-0.825,1,,,,0.144,0.681,-0.825,1,,,,0.144,0.681,-0.825,0
,,,,,,,,,,,,,,0.466,0.276,-0.742,,,0.468,0.154,-0.622,2,,,,-0.054,0.417,-0.363,1,,-0.054,0.417,-0.363,1,,,0.121,0.681,-0.802,0,,,,0.121,0.681,-0.802,0,,,,,-0.375,0.672,-0.298,1,,,,,0.121,0.681,-0.802,1,,,,0.121,0.681,-0.802,1,,,,0.121,0.681,-0.802,0
,,,,,,,,,,,,,,0.438,0.285,-0.722,,,0.452,0.169,-0.622,2,,,,-0.086,0.447,-0.36,1,,-0.086,0.447,-0.36,1,,,0.097,0.681,-0.778,0,,,,0.097,0.681,-0.778,0,,,,,-0.405,0.692,-0.287,1,,,,,0.097,0.681,-0.778,1,,,,0.097,0.681,-0.778,1,,,,0.097,0.681,-0.778,0
,,,,,,,,,,,,,,0.408,0.293,-0.701,,,0.436,0.185,-0.621,2,,,,-0.119,0.475,-0.356,1,,-0.119,0.475,-0.356,1,,,0.074,0.679,-0.753,0,,,,0.074,0.679,-0.753,0,,,,,-0.436,0.712,-0.276,1,,,,,0.074,0.679,-0.753,1,,,,0.074,0.679,-0.753,1,,,,0.074,0.679,-0.753,0
,,,,,,,,,,,,,,0.378,0.302,-0.68,,,0.419,0.201,-0.619,2,,,,-0.152,0.503,-0.351,1,,-0.152,0.503,-0.351,1,,,0.05,0.677,-0.727,0,,,,0.05,0.677,-0.727,0,,,,,-0.465,0.73,-0.264,1,,,,,0.05,0.677,-0.727,1,,,,0.05,0.677,-0.727,1,,,,0.05,0.677,-0.727,0
,,,,,,,,,,,,,,0.347,0.311,-0.658,,,0.401,0.215,-0.616,2,,,,-0.184,0.529,-0.345,1,,-0.184,0.529,-0.345,1,,,0.026,0.674,-0.699,0,,,,0.026,0.674,-0.699,0,,,,,-0.494,0.747,-0.253,1,,,,,0.026,0.674,-0.699,1,,,,0.026,0.674,-0.699,1,,,,0.026,0.674,-0.699,0
,,,,,,,,,,,,,,0.315,0.319,-0.634,,,0.382,0.228,-0.61,2,,,,-0.217,0.555,-0.339,1,,-0.217,0.555,-0.339,1,,,0,0.671,-0.671,0,,,,0,0.671,-0.671,0,,,,,-0.522,0.764,-0.242,1,,,,,0,0.671,-0.671,1,,,,0,0.671,-0.671,1,,,,0,0.671,-0.671,0
,,,,,,,,,,,,,,0.284,0.327,-0.61,,,0.362,0.24,-0.601,2,,,,-0.249,0.581,-0.332,1,,-0.249,0.581,-0.332,1,,,-0.026,0.668,-0.642,0,,,,-0.026,0.668,-0.642,0,,,,,-0.549,0.78,-0.231,1,,,,,-0.026,0.668,-0.642,1,,,,-0.026,0.668,-0.642,1,,,,-0.026,0.668,-0.642,0
,,,,,,,,,,,,,,0.251,0.334,-0.586,,,0.341,0.25,-0.59,2,,,,-0.281,0.605,-0.324,1,,-0.281,0.605,-0.324,1,,,-0.053,0.665,-0.612,0,,,,-0.053,0.665,-0.612,0,,,,,-0.575,0.796,-0.221,1,,,,,-0.053,0.665,-0.612,1,,,,-0.053,0.665,-0.612,1,,,,-0.053,0.665,-0.612,0
,,,,,,,,,,,,,,0.219,0.341,-0.56,,,0.319,0.259,-0.577,2,,,,-0.312,0.628,-0.316,1,,-0.312,0.628,-0.316,1,,,-0.081,0.662,-0.581,0,,,,-0.081,0.662,-0.581,0,,,,,-0.599,0.81,-0.211,1,,,,,-0.081,0.662,-0.581,1,,,,-0.081,0.662,-0.581,1,,,,-0.081,0.662,-0.581,0
,,,,,,,,,,,,,,0.186,0.348,-0.534,,,0.296,0.267,-0.563,2,,,,-0.344,0.651,-0.307,1,,-0.344,0.651,-0.307,1,,,-0.11,0.659,-0.549,0,,,,-0.11,0.659,-0.549,0,,,,,-0.622,0.824,-0.202,1,,,,,-0.11,0.659,-0.549,1,,,,-0.11,0.659,-0.549,1,,,,-0.11,0.659,-0.549,0
,,,,,,,,,,,,,,0.152,0.355,-0.507,,,0.272,0.275,-0.548,2,,,,-0.375,0.672,-0.298,1,,-0.375,0.672,-0.298,1,,,-0.138,0.655,-0.517,0,,,,-0.138,0.655,-0.517,0,,,,,-0.645,0.837,-0.191,1,,,,,-0.138,0.655,-0.517,1,,,,-0.138,0.655,-0.517,1,,,,-0.138,0.655,-0.517,0
,,,,,,,,,,,,,,0.119,0.361,-0.479,,,0.248,0.284,-0.532,2,,,,-0.405,0.692,-0.287,1,,-0.405,0.692,-0.287,1,,,-0.165,0.649,-0.484,0,,,,-0.165,0.649,-0.484,0,,,,,-0.667,0.848,-0.18,1,,,,,-0.165,0.649,-0.484,1,,,,-0.165,0.649,-0.484,1,,,,-0.165,0.649,-0.484,0
,,,,,,,,,,,,,,0.085,0.367,-0.451,,,0.225,0.292,-0.517,2,,,,-0.436,0.712,-0.276,1,,-0.436,0.712,-0.276,1,,,-0.191,0.641,-0.45,0,,,,-0.191,0.641,-0.45,0,,,,,-0.689,0.857,-0.168,1,,,,,-0.191,0.641,-0.45,1,,,,-0.191,0.641,-0.45,1,,,,-0.191,0.641,-0.45,0
,,,,,,,,,,,,,,0.051,0.372,-0.423,,,0.201,0.301,-0.502,2,,,,-0.465,0.73,-0.264,1,,-0.465,0.73,-0.264,1,,,-0.215,0.631,-0.416,0,,,,-0.215,0.631,-0.416,0,,,,,-0.711,0.864,-0.153,1,,,,,-0.215,0.631,-0.416,1,,,,-0.215,0.631,-0.416,1,,,,-0.215,0.631,-0.416,0
,,,,,,,,,,,,,,0.017,0.376,-0.393,,,0.179,0.309,-0.488,2,,,,-0.494,0.747,-0.253,1,,-0.494,0.747,-0.253,1,,,-0.237,0.618,-0.381,0,,,,-0.237,0.618,-0.381,0,,,,,-0.732,0.869,-0.137,1,,,,,-0.237,0.618,-0.381,1,,,,-0.237,0.618,-0.381,1,,,,-0.237,0.618,-0.381,0
,,,,,,,,,,,,,,-0.016,0.378,-0.363,,,0.156,0.317,-0.473,2,,,,-0.522,0.764,-0.242,1,,-0.522,0.764,-0.242,1,,,-0.258,0.604,-0.345,0,,,,-0.258,0.604,-0.345,0,,,,,-0.752,0.873,-0.121,1,,,,,-0.258,0.604,-0.345,1,,,,-0.258,0.604,-0.345,1,,,,-0.258,0.604,-0.345,0
,,,,,,,,,,,,,,-0.048,0.379,-0.331,,,0.134,0.325,-0.459,2,,,,-0.549,0.78,-0.231,1,,-0.549,0.78,-0.231,1,,,-0.278,0.588,-0.31,0,,,,-0.278,0.588,-0.31,0,,,,,-0.772,0.875,-0.103,1,,,,,-0.278,0.588,-0.31,1,,,,-0.278,0.588,-0.31,1,,,,-0.278,0.588,-0.31,0
,,,,,,,,,,,,,,-0.08,0.379,-0.299,,,0.113,0.332,-0.444,2,,,,-0.575,0.796,-0.221,1,,-0.575,0.796,-0.221,1,,,-0.297,0.571,-0.273,0,,,,-0.297,0.571,-0.273,0,,,,,-0.79,0.877,-0.087,1,,,,,-0.297,0.571,-0.273,1,,,,-0.297,0.571,-0.273,1,,,,-0.297,0.571,-0.273,0
,,,,,,,,,,,,,,-0.112,0.378,-0.266,,,0.091,0.338,-0.429,2,,,,-0.599,0.81,-0.211,1,,-0.599,0.81,-0.211,1,,,-0.317,0.553,-0.237,0,,,,-0.317,0.553,-0.237,0,,,,,-0.806,0.877,-0.071,1,,,,,-0.317,0.553,-0.237,1,,,,-0.317,0.553,-0.237,1,,,,-0.317,0.553,-0.237,0
,,,,,,,,,,,,,,-0.143,0.376,-0.233,,,0.068,0.345,-0.413,2,,,,-0.622,0.824,-0.202,1,,-0.622,0.824,-0.202,1,,,-0.337,0.536,-0.2,0,,,,-0.337,0.536,-0.2,0,,,,,-0.821,0.877,-0.056,1,,,,,-0.337,0.536,-0.2,1,,,,-0.337,0.536,-0.2,1,,,,-0.337,0.536,-0.2,0
